guid,Country,"Country info",Capital,"Capital info","Capital hint",Flag,"Flag similarity",Map,tags			
SdUr}o7uCD,AfghĂˇnistĂˇn,,KĂˇbul,,,"<img src=""ug-flag-afghanistan.png"" />",,"<img src=""ug-map-afghanistan.png"" />","UG::Asia UG::Sovereign_State"			
Kqu<?fnYdj,Anglie,"<div>KonstituÄŤnĂ­ zemÄ› VelkĂ© BritĂˇnie.</div><div></div>",LondĂ˝n,,"<div>NejednĂˇ se o suverĂ©nnĂ­ stĂˇt.</div><div></div>","<img src=""ug-flag-england.svg"" />",,"<img src=""ug-map-england.png"" />",UG::Europe			
NKd8wkwSc},Skotsko,"<div>KonstituÄŤnĂ­ zemÄ› VelkĂ© BritĂˇnie.</div><div></div>",Edinburgh,,,"<img src=""ug-flag-scotland.svg"" />",,"<img src=""ug-map-scotland.png"" />",UG::Europe			
Yhs*Ijz8VC,"SpojenĂ© krĂˇlovstvĂ­","ZnĂˇmĂ© tĂ©Ĺľ jako VelkĂˇ BritĂˇnie.",LondĂ˝n,,"<div>SuverĂ©nnĂ­ stĂˇt.</div>","<img src=""ug-flag-united_kingdom.svg"" />",,"<img src=""ug-map-united_kingdom.png"" />","UG::Europe UG::European_Union UG::Sovereign_State"			
8CRyr3v5s,Estonsko,,Tallinn,,,"<img src=""ug-flag-estonia.svg"" />",,"<img src=""ug-map-estonia.png"" />","UG::Europe UG::European_Union UG::Sovereign_State"			
QCojI{rzt2,"FaerskĂ© ostrovy","<div>KonstituÄŤnĂ­ zemÄ› DĂˇnskĂ©ho krĂˇlovstvĂ­.</div><div></div>",TĂłrshavn,,,"<img src=""ug-flag-faroe_islands.svg"" />","<div>Island (modrĂ© pozadĂ­, ÄŤervenĂ˝ a bĂ­lĂ˝ kĹ™Ă­Ĺľ), Norsko (ÄŤervenĂ© pozadĂ­, modrĂ˝ a bĂ­lĂ˝ kĹ™Ă­Ĺľ)</div><div></div>","<img src=""ug-map-faroe_islands.png"" />",UG::Europe			
QJ#h?,t`vv,Finsko,,Helsinky,,,"<img src=""ug-flag-finland.svg"" />",,"<img src=""ug-map-finland.png"" />","UG::Europe UG::European_Union UG::Sovereign_State"			
PfP(WP80AY,Island,,ReykjavĂ­k,,,"<img src=""ug-flag-iceland.svg"" />","<div>Norsko (ÄŤervenĂ© pozadĂ­, modrĂ˝ a bĂ­lĂ˝ kĹ™Ă­Ĺľ), FaerskĂ© ostrovy (bĂ­lĂ© pozadĂ­, ÄŤervenĂ˝ a modrĂ˝ kĹ™Ă­Ĺľ)</div>","<img src=""ug-map-iceland.png"" />","UG::Europe UG::Sovereign_State"			
YxF_I:!}G.,Irsko,,Dublin,,,"<img src=""ug-flag-ireland.svg"" />","<div>PobĹ™eĹľĂ­ slonoviny (prohozenĂˇ zelenĂˇ a oranĹľovĂˇ, uĹľĹˇĂ­)</div><div></div>","<img src=""ug-map-ireland.png"" />","UG::Europe UG::European_Union UG::Sovereign_State"			
I{.6CdY1D6,ItĂˇlie,,ĹĂ­m,,,"<img src=""ug-flag-italy.svg"" />",,"<img src=""ug-map-italy.png"" />","UG::Europe UG::European_Union UG::Mediterranean UG::Sovereign_State"			
So_]q&>DF%,LotyĹˇsko,,Riga,,,"<img src=""ug-flag-latvia.svg"" />","<div>Rakousko (svÄ›tlejĹˇĂ­ ÄŤervenĂˇ, ĹˇirĹˇĂ­ bĂ­lĂ˝ pruh)</div><div></div>","<img src=""ug-map-latvia.png"" />","UG::Europe UG::European_Union UG::Sovereign_State"			
Rka<_b5DD},LichtenĹˇtejnsko,,Vaduz,,,"<img src=""ug-flag-liechtenstein.svg"" />",,"<img src=""ug-map-liechtenstein.png"" />","UG::Europe UG::Sovereign_State"			
Q|daw=hzGu,Litva,,Vilnius,,,"<img src=""ug-flag-lithuania.svg"" />",,"<img src=""ug-map-lithuania.png"" />","UG::Europe UG::European_Union UG::Sovereign_State"			
OaD6_8~y.i,Lucembursko,,Lucemburk,,,"<img src=""ug-flag-luxembourg.svg"" />","<div>Nizozemsko (tmavĹˇĂ­ modrĂˇ)</div>","<img src=""ug-map-luxembourg.png"" />","UG::Europe UG::European_Union UG::Sovereign_State"			
Xd%e1})m)),"SevernĂ­ Makedonie","<div>DĹ™Ă­ve znĂˇmĂˇ jako Makedonie.</div><div></div>",Skopje,,,"<img src=""ug-flag-north_macedonia.svg"" />",,"<img src=""ug-map-north_macedonia.png"" />","UG::Europe UG::Sovereign_State"			
T,Q?krJ^.M,Malta,,Valletta,,,"<img src=""ug-flag-malta.svg"" />",,"<img src=""ug-map-malta.png"" />","UG::Europe UG::European_Union UG::Mediterranean UG::Sovereign_State"			
aQ&Lfl<*e,Moldavsko,,KiĹˇinÄ›v,,,"<img src=""ug-flag-moldova.svg"" />","<div>Andorra (uĹľĹˇĂ­, erb s mottem)</div><div></div>","<img src=""ug-map-moldova.png"" />","UG::Europe UG::Sovereign_State"			
SAJlS}1d@),Monako,,Monaco-Ville,,,"<img src=""ug-flag-monaco.svg"" />","<div>IndonĂ©sie (ĹˇirĹˇĂ­, svÄ›tlejĹˇĂ­ ÄŤervenĂˇ), Polsko (prohozenĂˇ ÄŤervenĂˇ a bĂ­lĂˇ, ĹˇirĹˇĂ­)</div><div></div>","<img src=""ug-map-monaco.png"" />","UG::Europe UG::Mediterranean UG::Sovereign_State"			
0?ZEtdYazd,"ÄŚernĂˇ hora",,Podgorica,"Cetinje je historicky hlavnĂ­ mÄ›sto.",,"<img src=""ug-flag-montenegro.png"" />",,"<img src=""ug-map-montenegro.png"" />","UG::Europe UG::Mediterranean UG::Sovereign_State"			
Uyrle<k6V$,Nizozemsko,,Amsterdam,"<div>ZatĂ­mco Amsterdam je oficiĂˇlnĂ­ hlavnĂ­ mÄ›sto, Haag je sĂ­dlo zĂˇkonodĂˇrnĂ© a vĂ˝konnĂ© moci.</div><div></div>",,"<img src=""ug-flag-netherlands.svg"" />","<div>Lucembursko (svÄ›tlejĹˇĂ­ modrĂˇ)</div><div></div>","<img src=""ug-map-netherlands.png"" />","UG::Europe UG::European_Union UG::Sovereign_State"			
R1G[@[!%0X,Norsko,,Oslo,,,"<img src=""ug-flag-norway.svg"" />","<div>Island (modrĂ© pozadĂ­, ÄŤervenĂ˝ kĹ™Ă­Ĺľ), FaerskĂ© ostrovy (bĂ­lĂ© pozadĂ­, ÄŤervenĂ˝ a modrĂ˝ kĹ™Ă­Ĺľ)</div><div></div>","<img src=""ug-map-norway.png"" />","UG::Europe UG::Sovereign_State"			
LzNfu_%AO5,Polsko,,VarĹˇava,,,"<img src=""ug-flag-poland.svg"" />","<div>IndonĂ©sie (prohozenĂˇ bĂ­lĂˇ a ÄŤervenĂˇ), Monako (prohozenĂˇ bĂ­lĂˇ a ÄŤervenĂˇ, uĹľĹˇĂ­)</div><div></div>","<img src=""ug-map-poland.png"">","UG::Europe UG::European_Union UG::Sovereign_State"			
WC@c]l&`B<,Portugalsko,,Lisabon,,,"<img src=""ug-flag-portugal.svg"" />",,"<img src=""ug-map-portugal.png"" />","UG::Europe UG::European_Union UG::Sovereign_State"			
P%OD]mwS*/,Rumunsko,,BukureĹˇĹĄ,,,"<img src=""ug-flag-romania.svg"" />","<div>ÄŚad (mĂ­rnÄ› tmavĹˇĂ­ modrĂˇ)</div><div></div>","<img src=""ug-map-romania.png"" />","UG::Europe UG::European_Union UG::Sovereign_State"			
1Qo*<wDxNe,Rusko,,Moskva,,,"<img src=""ug-flag-russia.svg"" />",,"<img src=""ug-map-russia.png"" />","UG::Europe UG::Sovereign_State"			
Phv.)E$	0u,"San Marino",,"San Marino (mÄ›sto)",,,"<img src=""ug-flag-san_marino.png"" />",,"<img src=""ug-map-san_marino.png"" />","UG::Europe UG::Sovereign_State"		
0Tbz}myI>l,Srbsko,,BÄ›lehrad,,,"<img src=""ug-flag-serbia.png"" />",,"<img src=""ug-map-serbia.png"" />","UG::Europe UG::Sovereign_State"			
